Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
HWST Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
Japan Coal			Value	2000-01-01	2100-01-01	Fuel Price File							
LWST Offshore Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
LWST Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
MED LSFO			Value	2000-01-01	2100-01-01	Fuel Price File							
mmbtu			Value	2000-01-01	2100-01-01	EnergyConversionsFile							
MWh			Value	2000-01-01	2100-01-01	EnergyConversionsFile							
NOCO2			Price	2000-01-01	2100-01-01	Fuel Price File							
Nordsee One Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
NWST Offshore Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
NWST Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
NWST Wind Power Curve PL			Value	2000-01-01	2100-01-01	Power Curve File							
Power Curve File			Data_Type	2000-01-01	2100-01-01	File							
Power Curve File			Location	2000-01-01	2100-01-01	/Variables/Power Curves/Wind Power Curves.txt							
Power Curve File			Location_Type	2000-01-01	2100-01-01	Relative							
Siemes SWT 36 120			Value	2000-01-01	2100-01-01	Power Curve File							
Siemes SWT 60 154			Value	2000-01-01	2100-01-01	Power Curve File							
Therm			Value	2000-01-01	2100-01-01	EnergyConversionsFile							
Tonne			Value	2000-01-01	2100-01-01	EnergyConversionsFile							
TTF Gas			Value	2000-01-01	2100-01-01	Fuel Price File							
Japan Gas			Value	2000-01-01	2100-01-01	Fuel Price File							
Japan Gas Stochastic			Value	2000-01-01	2100-01-01	Japan Gas Stochastic File							
Japan Gas Stochastic File			Data_Type	2000-01-01	2100-01-01	File							
Japan Gas Stochastic File			Location	2000-01-01	2100-01-01	/Variables/Fuels/Gas Stochastic.txt							
Japan Gas Stochastic File			Location_Type	2000-01-01	2100-01-01	Relative							
TTF Gas Stochastic			Value	2000-01-01	2100-01-01	TTF Gas Stochastic File							
TTF Gas Stochastic File			Data_Type	2000-01-01	2100-01-01	File							
TTF Gas Stochastic File			Location	2000-01-01	2100-01-01	/Variables/Fuels/Gas Stochastic.txt							
TTF Gas Stochastic File			Location_Type	2000-01-01	2100-01-01	Relative							
TX Gas Stochastic			Value	2000-01-01	2100-01-01	TX Gas Stochastic File							
