Object_Name	Object_Type
JAPAN Offshore 100m 840 42.5 145.625 130M Generator HWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M Windspeed	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M HHxWS	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M HHxWSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M HHc	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M WSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M HHxWSc+HHc	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 130M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M Generator LWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 160M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M Generator LWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M Generator NWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 160M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M Generator NWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M Generator HWST	Generator
JAPAN Offshore 100m 840 42.5 145.625 160M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M Generator HWST CRF	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M Windspeed	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M HHxWS	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M HHxWSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M HHc	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M WSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M HHxWSc+HHc	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 840 42.5 145.625 160M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 840 42.5 145.625 Windspeed	Variable
JAPAN Offshore 100m 840 42.5 145.625 File	DataSource
